old_path	current_path	baseline_path	classification	t14_disposition	initial_t16_owner	cmake_selection	current_exists
src/core/softpc/base/ccpu386/ntthread.c	src/mvdm/softpc.new/base/ccpu386/ntthread.c	base/ccpu386/ntthread.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/ccpu386/softpc_ccpu_facade.c	src/core/softpc-port-abi/ccpu/softpc_ccpu_facade.c	base/ccpu386/softpc_ccpu_facade.c	local-standalone	overlay	compat-review	literal-reference	true
src/core/softpc/base/comms/com.c	src/mvdm/softpc.new/base/comms/com.c	base/comms/com.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/cvidc/evidfunc.h	src/mvdm/softpc.new/base/cvidc/evidfunc.h	base/cvidc/evidfunc.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/cvidc/evidgen.h	src/mvdm/softpc.new/base/cvidc/evidgen.h	base/cvidc/evidgen.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/cvidc/j_c_lang.c	src/mvdm/softpc.new/base/cvidc/j_c_lang.c	base/cvidc/j_c_lang.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/cvidc/j_c_lang.h	src/mvdm/softpc.new/base/cvidc/j_c_lang.h	base/cvidc/j_c_lang.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/cvidc/sascdef.c	src/mvdm/softpc.new/base/cvidc/sascdef.c	base/cvidc/sascdef.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/cvidc/sevid019.c	src/mvdm/softpc.new/base/cvidc/sevid019.c	base/cvidc/sevid019.c	direct-original-diff	overlay	recovered-machine-review	cvid-glob	true
src/core/softpc/base/cvidc/sevid020.c	src/mvdm/softpc.new/base/cvidc/sevid020.c	base/cvidc/sevid020.c	direct-original-diff	overlay	recovered-machine-review	cvid-glob	true
src/core/softpc/base/cvidc/vglfunc.c	src/mvdm/softpc.new/base/cvidc/vglfunc.c	base/cvidc/vglfunc.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/inc/ckmalloc.h	src/mvdm/softpc.new/base/inc/ckmalloc.h	base/inc/ckmalloc.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/cpu_vid.h	src/mvdm/softpc.new/base/inc/cpu_vid.h	base/inc/cpu_vid.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/egacpu.h	src/mvdm/softpc.new/base/inc/egacpu.h	base/inc/egacpu.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/emm.h	src/mvdm/softpc.new/base/inc/emm.h	base/inc/emm.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/gmi.h	src/mvdm/softpc.new/base/inc/gmi.h	base/inc/gmi.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/host_com.h	src/mvdm/softpc.new/base/inc/host_com.h	base/inc/host_com.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/host.h	src/mvdm/softpc.new/base/inc/host.h	base/inc/host.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/ica.h	src/mvdm/softpc.new/base/inc/ica.h	base/inc/ica.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/ios.h	src/mvdm/softpc.new/base/inc/ios.h	base/inc/ios.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/timeval.h	src/mvdm/softpc.new/base/inc/timeval.h	base/inc/timeval.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/inc/video.h	src/mvdm/softpc.new/base/inc/video.h	base/inc/video.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/keymouse/keyba.c	src/mvdm/softpc.new/base/keymouse/keyba.c	base/keymouse/keyba.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/keymouse/keybd_io.c	src/mvdm/softpc.new/base/keymouse/keybd_io.c	base/keymouse/keybd_io.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/keymouse/mouse_io.c	src/mvdm/softpc.new/base/keymouse/mouse_io.c	base/keymouse/mouse_io.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/keymouse/mouse.c	src/mvdm/softpc.new/base/keymouse/mouse.c	base/keymouse/mouse.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/support/ios.c	src/mvdm/softpc.new/base/support/ios.c	base/support/ios.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/support/main.c	src/mvdm/softpc.new/base/support/main.c	base/support/main.c	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/support/time_day.c	src/mvdm/softpc.new/base/support/time_day.c	base/support/time_day.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/system/cmosnt.c	src/mvdm/softpc.new/base/system/cmosnt.c	base/system/cmosnt.c	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
src/core/softpc/base/system/ica.c	src/mvdm/softpc.new/base/system/ica.c	base/system/ica.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/system/idetect.c	src/mvdm/softpc.new/base/system/idetect.c	base/system/idetect.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/system/rom.c	src/mvdm/softpc.new/base/system/rom.c	base/system/rom.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/video/gfx_updt.c	src/mvdm/softpc.new/base/video/gfx_updt.c	base/video/gfx_updt.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/video/v7_ports.c	src/mvdm/softpc.new/base/video/v7_ports.c	base/video/v7_ports.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/host/inc/cfpu_def.h	src/mvdm/softpc.new/host/inc/cfpu_def.h	host/inc/cfpu_def.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/host_cpu.h	src/mvdm/softpc.new/host/inc/host_cpu.h	host/inc/host_cpu.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/host_def.h	src/mvdm/softpc.new/host/inc/host_def.h	host/inc/host_def.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/host_emm.h	src/mvdm/softpc.new/host/inc/host_emm.h	host/inc/host_emm.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/insignia.h	src/mvdm/softpc.new/host/inc/insignia.h	host/inc/insignia.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/nt_event.h	src/mvdm/softpc.new/host/inc/nt_event.h	host/inc/nt_event.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/nt_graph.h	src/mvdm/softpc.new/host/inc/nt_graph.h	host/inc/nt_graph.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/nt_inthk.h	src/mvdm/softpc.new/host/inc/nt_inthk.h	host/inc/nt_inthk.h	direct-original-diff	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/softpc_standalone_dib.h	src/mvdm/softpc.new/host/inc/softpc_standalone_dib.h	host/inc/softpc_standalone_dib.h	local-standalone	host	recovered-machine-review	not-directly-selected	true
src/core/softpc/host/inc/x86/prod/gdpvar.h	src/core/softpc-port-abi/ccpu/gdpvar.h	host/inc/x86/prod/gdpvar.h	local-standalone	host	compat-review	not-directly-selected	true
src/core/softpc/host/inc/x86/prod/PigReg_c.h	src/core/softpc-port-abi/ccpu/PigReg_c.h	host/inc/x86/prod/PigReg_c.h	local-standalone	host	compat-review	not-directly-selected	true
src/core/softpc/host/inc/x86/prod/sas4gen.h	src/core/softpc-port-abi/ccpu/sas4gen.h	host/inc/x86/prod/sas4gen.h	local-standalone	host	compat-review	not-directly-selected	true
src/core/softpc/host/src/nt_cga.c	src/mvdm/softpc.new/host/src/nt_cga.c	host/src/nt_cga.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_com.c	src/mvdm/softpc.new/host/src/nt_com.c	host/src/nt_com.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_ega.c	src/mvdm/softpc.new/host/src/nt_ega.c	host/src/nt_ega.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_graph.c	src/mvdm/softpc.new/host/src/nt_graph.c	host/src/nt_graph.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_keycd.c	src/mvdm/softpc.new/host/src/nt_keycd.c	host/src/nt_keycd.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_lpt.c	src/mvdm/softpc.new/host/src/nt_lpt.c	host/src/nt_lpt.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_munge.c	src/mvdm/softpc.new/host/src/nt_munge.c	host/src/nt_munge.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_sound.c	src/mvdm/softpc.new/host/src/nt_sound.c	host/src/nt_sound.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/host/src/nt_vga.c	src/mvdm/softpc.new/host/src/nt_vga.c	host/src/nt_vga.c	direct-original-diff	host	recovered-machine-review	literal-reference	true
src/core/softpc/suballoc/suballcp.h	src/core/softpc/suballoc/suballcp.h	../suballoc/suballcp.h	direct-original-diff	remove-unselected	unselected-or-review	not-directly-selected	true
src/core/softpc/xms.486/xms.h	src/core/softpc/xms.486/xms.h	../xms.486/xms.h	direct-original-diff	remove-unselected	unselected-or-review	not-directly-selected	true
src/core/softpc/xms.486/xmsa20.c	src/core/softpc/xms.486/xmsa20.c	../xms.486/xmsa20.c	direct-original-diff	remove-unselected	unselected-or-review	not-directly-selected	true
src/core/softpc/xms.486/xmsblock.c	src/core/softpc/xms.486/xmsblock.c	../xms.486/xmsblock.c	direct-original-diff	remove-unselected	unselected-or-review	not-directly-selected	true
src/host/softpc_compat/conapi.h	src/host/softpc_compat/conapi.h	-	local-standalone	host	host-pending-T17	not-directly-selected	true
src/host/softpc_compat/edl_fast_bop.c	src/host/softpc_compat/edl_fast_bop.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/host/softpc_compat/graphics_console_compat.c	src/host/softpc_compat/graphics_console_compat.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/host/softpc_compat/softpc_host_input.h	src/host/softpc_compat/softpc_host_input.h	-	local-standalone	host	host-pending-T17	not-directly-selected	true
src/vm/console.c	src/vm/console.c	-	local-standalone	app	app-pending-T18	literal-reference	true
src/vm/console.h	src/vm/console.h	-	local-standalone	app	app-pending-T18	not-directly-selected	true
src/vm/main.c	src/vm/main.c	-	local-standalone	app	app-pending-T18	literal-reference	true
src/vm/runtime.c	src/vm/runtime.c	-	local-standalone	app	app-pending-T18	literal-reference	true
src/vm/runtime.h	src/vm/runtime.h	-	local-standalone	app	app-pending-T18	not-directly-selected	true
src/vm/softpc_firmware.rc	src/vm/softpc_firmware.rc	-	local-standalone	app	app-pending-T18	literal-reference	true
src/vm/win32_keyboard.c	src/vm/win32_keyboard.c	-	local-standalone	app	app-pending-T18	literal-reference	true
src/vm/win32_keyboard.h	src/vm/win32_keyboard.h	-	local-standalone	app	app-pending-T18	not-directly-selected	true
src/vm/win32_window.c	src/vm/win32_window.c	-	local-standalone	app	app-pending-T18	literal-reference	true
src/vm/win32_window.h	src/vm/win32_window.h	-	local-standalone	app	app-pending-T18	not-directly-selected	true
